game_date,ticker,buy_team,signal_type,strength,entry_price,contracts,settlement_price,pnl_dollars
2026-04-12,KXMLBGAME-26APR121920CLEATL,CLE,underdog_momentum,63.5,36.5,1,0.0,-0.365
2026-04-13,KXMLBGAME-26APR131840CHCPHI,CHC,underdog_momentum,62.5,37.5,1,0.0,-0.375
2026-04-13,KXMLBGAME-26APR131840WSHPIT,WSH,underdog_momentum,66.5,33.5,1,0.0,-0.335
2026-04-13,KXMLBGAME-26APR131940BOSMIN,MIN,underdog_momentum,80.5,39.5,2,100.0,1.21
2026-04-14,KXMLBGAME-26APR141840WSHPIT,WSH,underdog_momentum,63.0,37.0,1,100.0,0.63
2026-04-15,KXMLBGAME-26APR151905LAANYY,LAA,underdog_momentum,62.5,37.5,1,0.0,-0.375
2026-04-17,KXMLBGAME-26APR172010CINMIN,CIN,underdog_momentum,60.5,39.5,1,100.0,0.605
2026-04-18,KXMLBGAME-26APR181610DETBOS,BOS,underdog_momentum,60.5,39.5,1,0.0,-0.395
2026-04-20,KXMLBGAME-26APR202040LADCOL,COL,underdog_momentum,66.5,33.5,1,0.0,-0.335
2026-04-21,KXMLBGAME-26APR212145LADSF,SF,underdog_momentum,61.5,38.5,1,100.0,0.615
2026-04-22,KXMLBGAME-26APR221610ATHSEA,ATH,underdog_momentum,62.5,37.5,1,0.0,-0.375
2026-04-23,KXMLBGAME-26APR231310MILDET,MIL,underdog_momentum,66.5,33.5,1,0.0,-0.335
2026-04-28,KXMLBGAME-26APR281840COLCIN,COL,underdog_momentum,84.5,35.5,2,0.0,-0.71
2026-04-28,KXMLBGAME-26APR281840SFPHI,SF,underdog_momentum,60.5,39.5,1,0.0,-0.395
2026-04-30,KXMLBGAME-26APR301235STLPIT,STL,underdog_momentum,66.5,33.5,1,100.0,0.665
2026-04-30,KXMLBGAME-26APR301240COLCIN,COL,underdog_momentum,80.5,39.5,2,0.0,-0.79
2026-04-30,KXMLBGAME-26APR301310WSHNYM,WSH,underdog_momentum,64.5,35.5,1,100.0,0.645
2026-06-04,KXMLBGAME-26JUN041335CLENYY,CLE,underdog_momentum,61.5,38.5,1,0.0,-0.385
2026-06-05,KXMLBGAME-26JUN051420SFCHC,SF,underdog_momentum,61.5,38.5,1,100.0,0.615
2026-06-05,KXMLBGAME-26JUN051840CWSPHI,CWS,underdog_momentum,62.5,37.5,1,0.0,-0.375
2026-06-07,KXMLBGAME-26JUN071335BOSNYY,BOS,underdog_momentum,61.5,38.5,1,0.0,-0.385
2026-06-08,KXMLBGAME-26JUN081907PHITOR,TOR,underdog_momentum,61.5,38.5,1,0.0,-0.385
2026-06-12,KXMLBGAME-26JUN121940LADCWS,CWS,underdog_momentum,60.5,39.5,1,100.0,0.605
2026-06-12,KXMLBGAME-26JUN121940PHIMIL,PHI,underdog_momentum,69.5,30.5,1,0.0,-0.305
2026-06-12,KXMLBGAME-26JUN122138TBLAA,LAA,underdog_momentum,61.5,38.5,1,100.0,0.615
2026-06-13,KXMLBGAME-26JUN131610LADCWS,CWS,underdog_momentum,85.5,34.5,2,0.0,-0.69
2026-06-13,KXMLBGAME-26JUN131910PHIMIL,PHI,underdog_momentum,60.5,39.5,1,100.0,0.605
2026-05-03,KXMLBGAME-26MAY031610CWSSD,CWS,underdog_momentum,102.5,37.5,3,0.0,-1.125
2026-05-04,KXMLBGAME-26MAY042010LADHOU,HOU,underdog_momentum,64.5,35.5,1,0.0,-0.355
2026-05-05,KXMLBGAME-26MAY051840ATHPHI,ATH,underdog_momentum,63.5,36.5,1,0.0,-0.365
2026-05-06,KXMLBGAME-26MAY061410LADHOU,HOU,underdog_momentum,66.5,33.5,1,0.0,-0.335
2026-05-07,KXMLBGAME-26MAY072210STLSD,STL,underdog_momentum,60.5,39.5,1,100.0,0.605
2026-05-11,KXMLBGAME-26MAY111810LAACLE,LAA,underdog_momentum,60.5,39.5,1,0.0,-0.395
2026-05-12,KXMLBGAME-26MAY122210SFLAD,SF,underdog_momentum,73.5,26.5,1,100.0,0.735
2026-05-13,KXMLBGAME-26MAY132210SFLAD,SF,underdog_momentum,88.5,31.5,2,0.0,-0.63
2026-05-14,KXMLBGAME-26MAY142210SFLAD,SF,underdog_momentum,62.5,37.5,1,0.0,-0.375
2026-05-16,KXMLBGAME-26MAY161915SDSEA,SD,underdog_momentum,61.5,38.5,1,100.0,0.615
2026-05-18,KXMLBGAME-26MAY181905TORNYY,TOR,underdog_momentum,60.5,39.5,1,0.0,-0.395
2026-05-22,KXMLBGAME-26MAY221840CLEPHI,CLE,underdog_momentum,101.5,38.5,3,100.0,1.845
2026-05-23,KXMLBGAME-26MAY231605CLEPHI,CLE,underdog_momentum,103.5,36.5,3,0.0,-1.095
2026-05-24,KXMLBGAME-26MAY241410LADMIL,MIL,underdog_momentum,81.5,38.5,2,0.0,-0.77
2026-05-24,KXMLBGAME-26MAY241420HOUCHC,HOU,underdog_momentum,61.5,38.5,1,100.0,0.615
2026-05-24,KXMLBGAME-26MAY241610ATHSD,ATH,underdog_momentum,60.5,39.5,1,100.0,0.605
2026-05-24,KXMLBGAME-26MAY241610WSHATL,WSH,underdog_momentum,60.5,39.5,1,100.0,0.605
2026-05-25,KXMLBGAME-26MAY251810WSHCLE,WSH,underdog_momentum,61.5,38.5,1,100.0,0.615
2026-05-27,KXMLBGAME-26MAY271310WSHCLE,WSH,underdog_momentum,83.0,37.0,2,0.0,-0.74
2026-05-31,KXMLBGAME-26MAY311340LAATB,LAA,underdog_momentum,64.5,35.5,1,0.0,-0.355
2026-05-31,KXMLBGAME-26MAY311410MILHOU,HOU,underdog_momentum,65.5,34.5,1,0.0,-0.345
2026-05-31,KXMLBGAME-26MAY311610PHILAD,PHI,underdog_momentum,87.5,32.5,2,0.0,-0.65
